timestamp,F2_UT_SCR01_BR_DRY_FLOW,F2_UT_SCR01_BR_CVD_FLOW,F2_UT_SCR01_BR_WET_FLOW,F2_UT_SCR01_BR_IMP_FLOW,F2_UT_SCR01_HDR_FLOW,F2_UT_STK01_NOX_DRY,F2_UT_STK01_FLOW,F2_UT_STK01_TEMP,F2_UT_SCR01_FAN_SP,F2_UT_SCR01_DP,F2_FAB_DRY_UTIL,F2_FAB_CVD_UTIL,F2_FAB_WET_UTIL,F2_FAB_IMP_UTIL,F2_UT_AMB_TEMP,F2_UT_SCR01_FAN_HZ
2025-03-01 00:00:00,1.2933,1.0629,1.2424,0.3703,3.9804,58.971,11096.889,38.889,347.547,99.608,47.21,42.48,53.12,45.42,-0.27,58.8
2025-03-01 00:05:00,1.2551,1.0544,1.2287,0.3679,3.9459,57.252,11134.976,38.617,357.597,102.515,46.41,42.38,53.44,45.22,-0.54,58.81
2025-03-01 00:10:00,1.297,1.04,1.2465,0.35,3.9289,57.08,11279.875,38.884,341.81,100.046,46.26,42.74,52.47,45.07,0.12,58.82
2025-03-01 00:15:00,1.2771,1.0638,1.2431,0.3418,3.9458,55.385,11055.879,39.164,356.892,99.581,46.11,42.01,52.56,43.65,-0.66,58.83
2025-03-01 00:20:00,1.2855,1.0565,1.2604,0.3571,3.9686,56.053,11017.91,38.184,350.991,98.49,45.64,41.96,52.45,44.37,-0.98,58.83
2025-03-01 00:25:00,1.2829,1.0558,1.2578,0.3453,3.935,55.831,10975.036,39.502,348.297,96.153,46.49,41.66,53.51,43.97,-0.21,58.84
2025-03-01 00:30:00,1.2674,1.0643,1.2427,0.3544,3.9268,57.415,10979.917,38.511,349.409,95.7,47.29,41.86,52.58,44.51,0.36,58.85
2025-03-01 00:35:00,1.2701,1.0513,1.2259,0.3409,3.9248,57.305,10923.866,39.208,355.776,97.619,45.98,40.97,52.12,43.95,0.66,58.86
2025-03-01 00:40:00,1.2793,1.0744,1.2618,0.3654,3.9649,55.348,11290.582,38.795,342.549,99.033,46.5,42.46,51.63,44.31,0.32,58.87
2025-03-01 00:45:00,1.2458,1.0556,1.2548,0.3677,3.9622,56.684,11194.937,39.082,353.357,99.562,46.82,42.77,53.26,43.95,-0.47,58.88
2025-03-01 00:50:00,1.2586,1.0663,1.261,0.3498,3.9572,51.647,11011.944,38.25,355.203,95.135,46.65,42.77,52.29,45.19,0.12,58.89
2025-03-01 00:55:00,1.2966,1.0576,1.2535,0.3654,3.941,56.657,11010.125,39.474,353.901,99.548,46.48,42.67,52.89,44.69,-0.43,58.9
2025-03-01 01:00:00,1.2503,1.0526,1.2556,0.3531,3.9331,56.991,10934.803,38.932,355.583,96.101,46.87,42.18,52.62,44.62,-1.17,58.9
2025-03-01 01:05:00,1.3037,1.0551,1.2478,0.3439,3.9691,56.403,10809.388,39.176,351.794,103.242,46.62,42.18,52.3,45.6,-1.36,58.91
2025-03-01 01:10:00,1.2853,1.0673,1.2607,0.3503,3.9578,51.829,11089.443,38.532,357.795,100.961,46.79,42.38,52.96,44.73,-1.87,58.92
2025-03-01 01:15:00,1.264,1.0676,1.252,0.3477,3.9226,56.761,11367.157,39.212,350.261,100.876,47.76,42.83,52.98,44.75,0.6,58.93
2025-03-01 01:20:00,1.2636,1.0681,1.2524,0.3316,3.9598,56.009,11110.018,39.156,355.271,98.579,46.57,43.36,51.98,44.61,-1.17,58.94
2025-03-01 01:25:00,1.2983,1.0533,1.255,0.3436,3.9411,54.722,10970.758,39.23,352.323,100.602,46.71,42.69,53.4,45.2,0.76,58.95
2025-03-01 01:30:00,1.2702,1.0632,1.2531,0.3325,3.961,55.677,11178.368,38.108,351.823,105.202,46.98,42.99,53.12,44.8,-2.29,58.96
2025-03-01 01:35:00,1.3056,1.0907,1.2907,0.334,3.9427,57.439,11243.541,38.405,348.881,98.598,47.54,43.18,53.43,45.05,-0.79,58.97
2025-03-01 01:40:00,1.28,1.0739,1.2464,0.3487,3.9699,58.759,11057.07,38.508,350.524,96.562,46.63,42.62,52.59,44.09,-0.53,58.97
2025-03-01 01:45:00,1.308,1.0708,1.2408,0.3516,3.9644,55.235,11062.25,39.28,352.847,103.805,47.12,42.77,52.1,44.47,-0.68,58.98
2025-03-01 01:50:00,1.2834,1.0694,1.2649,0.3662,3.9416,52.091,10764.714,38.838,349.927,99.489,47.04,42.33,51.91,45.43,-0.25,58.99
2025-03-01 01:55:00,1.2615,1.0772,1.2537,0.3474,3.9564,61.078,11175.121,39.249,347.251,96.642,46.05,43.88,52.69,44.82,1.04,59.0
2025-03-01 02:00:00,1.2585,1.0646,1.2665,0.3595,3.957,54.806,11231.319,38.946,354.895,98.993,46.82,42.36,53.41,45.22,-1.89,59.01
2025-03-01 02:05:00,1.2795,1.0607,1.2596,0.3429,3.9484,58.778,10715.352,39.334,352.674,100.92,46.3,42.35,52.13,43.93,0.33,59.02
2025-03-01 02:10:00,1.2885,1.0537,1.2382,0.3479,3.9368,57.555,11327.507,38.935,352.795,98.422,46.2,41.93,53.18,44.23,-0.49,59.03
2025-03-01 02:15:00,1.2989,1.0681,1.2422,0.3742,3.9326,51.194,10951.255,39.059,348.349,95.621,46.27,42.07,51.78,44.45,-0.65,59.03
2025-03-01 02:20:00,1.2878,1.0676,1.2587,0.3337,3.9655,57.059,11203.25,38.576,348.43,100.443,47.15,42.68,52.21,44.37,-1.81,59.04
2025-03-01 02:25:00,1.294,1.0659,1.2614,0.3358,3.9591,56.888,11478.575,38.76,354.092,102.381,46.16,42.99,53.66,44.46,0.24,59.05
2025-03-01 02:30:00,1.2734,1.0525,1.2456,0.3521,3.9643,58.639,11268.166,39.321,354.71,99.18,46.75,42.18,52.9,44.16,-1.8,59.06
2025-03-01 02:35:00,1.288,1.0815,1.2373,0.3378,3.9515,58.582,11131.347,38.667,354.086,99.969,47.28,42.49,51.68,43.8,-1.92,59.07
2025-03-01 02:40:00,1.2854,1.0662,1.2604,0.3399,3.954,58.04,11023.014,38.562,360.458,100.394,45.81,42.66,52.6,44.26,-2.47,59.08
2025-03-01 02:45:00,1.2943,1.067,1.2513,0.3283,3.9468,54.505,10987.97,39.686,353.653,94.485,45.68,42.69,52.12,44.25,-1.51,59.09
2025-03-01 02:50:00,1.2744,1.0727,1.2619,0.3611,3.9477,55.788,11111.771,39.283,357.969,96.841,47.2,41.94,51.89,44.07,0.45,59.09
2025-03-01 02:55:00,1.2701,1.0832,1.2527,0.371,3.9569,54.277,11012.885,39.286,349.109,99.632,46.74,42.51,52.48,44.97,-1.55,59.1
2025-03-01 03:00:00,1.2682,1.0732,1.2705,0.3497,3.9563,55.537,11407.569,39.823,351.656,97.186,46.35,42.21,52.73,44.7,0.78,59.11
2025-03-01 03:05:00,1.2917,1.0812,1.2646,0.3553,3.9555,55.264,11338.927,39.683,349.392,100.34,46.62,43.55,53.1,45.22,-1.15,59.12
2025-03-01 03:10:00,1.272,1.0777,1.2319,0.3299,3.9746,56.622,11473.86,38.71,358.944,99.613,47.6,43.14,52.85,45.71,0.26,59.13
2025-03-01 03:15:00,1.2895,1.0793,1.2604,0.3327,3.9849,56.416,11647.121,38.512,349.908,101.419,47.88,44.75,53.76,45.15,-2.25,59.14
2025-03-01 03:20:00,1.2815,1.072,1.2597,0.3649,3.9927,59.957,11343.618,39.313,353.001,97.954,48.54,44.33,53.46,44.92,0.98,59.14
2025-03-01 03:25:00,1.297,1.075,1.2574,0.3629,3.9667,55.713,11041.168,39.193,345.001,105.739,47.47,43.76,53.53,45.51,-0.43,59.15
2025-03-01 03:30:00,1.2869,1.0608,1.2545,0.3461,3.973,54.152,11303.285,39.156,354.976,101.088,47.02,43.4,53.64,45.35,0.96,59.16
2025-03-01 03:35:00,1.2814,1.0863,1.2472,0.3548,3.9718,56.896,11337.582,38.822,343.896,101.318,46.79,42.81,53.08,45.06,-0.91,59.17
2025-03-01 03:40:00,1.3208,1.0745,1.2562,0.3535,3.9723,56.869,11058.99,39.512,354.102,97.037,47.88,43.03,54.4,45.78,0.2,59.18
2025-03-01 03:45:00,1.2758,1.0844,1.2757,0.3594,3.9547,56.025,11170.356,39.225,355.196,100.004,47.26,43.62,53.42,45.07,1.16,59.19
2025-03-01 03:50:00,1.2784,1.0917,1.2488,0.3617,3.9912,54.23,11244.967,39.288,352.281,99.817,47.9,44.13,53.26,46.13,0.44,59.19
2025-03-01 03:55:00,1.3033,1.0759,1.2489,0.3461,3.9728,55.901,11256.093,39.09,355.655,97.364,47.34,43.34,53.44,45.7,1.33,59.2
2025-03-01 04:00:00,1.2788,1.0713,1.2651,0.3351,3.987,53.642,11132.592,39.31,350.172,97.985,47.33,43.08,53.93,45.59,-0.2,59.21
2025-03-01 04:05:00,1.2913,1.0645,1.2588,0.3388,3.9735,55.538,11332.654,39.063,350.151,97.401,47.33,44.52,53.6,45.04,-0.09,59.22
2025-03-01 04:10:00,1.2864,1.0933,1.232,0.3266,3.9908,59.301,10885.761,39.232,352.738,99.98,47.28,44.29,54.4,46.16,0.45,59.23
2025-03-01 04:15:00,1.2921,1.0689,1.2422,0.3522,4.0004,54.964,10909.227,38.9,353.926,99.052,47.67,43.93,52.65,44.78,-0.1,59.23
2025-03-01 04:20:00,1.2878,1.0772,1.2781,0.3596,3.9985,59.749,11278.606,38.996,353.271,102.654,48.47,43.22,53.83,46.36,0.37,59.24
2025-03-01 04:25:00,1.2812,1.1098,1.2556,0.3553,3.9843,56.001,11444.86,38.618,361.597,100.532,48.04,43.9,54.3,45.91,0.49,59.25
2025-03-01 04:30:00,1.2997,1.106,1.2608,0.3544,3.9986,61.402,11221.139,39.44,355.3,97.218,46.99,43.39,52.68,45.4,0.31,59.26
2025-03-01 04:35:00,1.2855,1.0802,1.2516,0.3574,3.9851,54.681,11421.398,38.959,358.813,93.944,47.06,43.52,53.31,44.89,-0.31,59.27
2025-03-01 04:40:00,1.2976,1.0933,1.254,0.352,3.9732,55.49,11090.755,38.938,356.03,101.347,46.69,42.73,53.02,45.36,1.14,59.28
2025-03-01 04:45:00,1.2746,1.0671,1.2432,0.3565,3.9717,57.084,11363.644,39.135,350.369,101.443,46.68,42.55,52.62,43.99,1.56,59.28
2025-03-01 04:50:00,1.3015,1.0666,1.2827,0.372,3.9854,57.276,11069.368,39.224,367.214,97.167,46.58,42.22,52.03,44.62,2.48,59.29
2025-03-01 04:55:00,1.2827,1.0596,1.2414,0.3637,3.978,56.955,11256.832,39.057,355.216,97.308,46.52,41.83,52.94,44.86,1.87,59.3
2025-03-01 05:00:00,1.2815,1.0638,1.2739,0.3718,3.9819,60.766,11295.716,39.546,355.066,98.989,47.0,43.62,52.91,44.91,-0.11,59.31
2025-03-01 05:05:00,1.2991,1.0855,1.2285,0.3302,3.98,58.783,11306.274,39.199,352.199,100.972,46.42,43.0,52.98,44.61,0.89,59.32
2025-03-01 05:10:00,1.3018,1.0708,1.2626,0.3459,3.9605,56.986,11483.966,39.244,355.629,98.681,47.17,42.39,51.9,43.92,3.27,59.32
2025-03-01 05:15:00,1.2674,1.0705,1.2414,0.331,3.9686,54.671,11227.639,39.623,351.562,101.143,46.68,42.91,52.77,44.75,2.06,59.33
2025-03-01 05:20:00,1.3074,1.0785,1.2658,0.3424,3.965,56.8,11150.644,38.922,351.65,103.174,46.33,42.45,52.72,44.22,1.31,59.34
2025-03-01 05:25:00,1.2889,1.0809,1.2588,0.3379,3.9517,54.134,11367.002,39.683,351.62,98.82,46.53,42.46,52.58,44.29,3.01,59.35
2025-03-01 05:30:00,1.2879,1.0901,1.2654,0.3482,3.948,59.148,11433.209,39.394,355.007,99.008,45.96,42.6,52.36,44.57,1.05,59.35
